gene_id,gene_short_name,cluster,marker_score,mean_expression,fraction_expressing,specificity,pseudo_R2,marker_test_p_value,marker_test_q_value
ENSG00000142089,IFITM3,CD16+ Monocytes,0.4923899776644088,4.081298988707618,0.9319899244332494,0.5283211381966765,0.5981290314250635,4.39760332293527e-195,1.6152440981174476e-189
ENSG00000130592,LSP1,CD16+ Monocytes,0.22805831675783608,4.241574126915467,0.9672544080604534,0.23577904102307534,0.3059219964862788,7.812804951167234e-99,2.8696510713686764e-93
ENSG00000129757,CDKN1C,CD16+ Monocytes,0.34475219142523306,0.6564255385013813,0.47858942065491183,0.7203506315569344,0.29643085508287775,9.080449773976309e-96,3.3352582824312723e-90
ENSG00000177105,RHOG,CD16+ Monocytes,0.22256379348209335,1.9597444325405005,0.8413098236775819,0.26454438925865587,0.2259353117987393,4.1077039981742075e-73,1.5087637862333846e-67
ENSG00000066336,SPI1,CD16+ Monocytes,0.3578859835921961,4.781649827375384,0.9622166246851386,0.37193909813115666,0.4990181416990227,5.110824630538666e-162,1.8772109976214826e-156
ENSG00000166927,MS4A7,CD16+ Monocytes,0.21661737610674814,0.4617547273912915,0.4005037783375315,0.5408622535495535,0.19373572820302495,7.913442953679907e-63,2.9066155103295834e-57
ENSG00000167996,FTH1,CD16+ Monocytes,0.26229934004466937,81.01840019299105,1,0.26229934004466937,0.46979676193954917,2.362796467991749e-152,8.678575054898375e-147
ENSG00000067082,KLF6,CD16+ Monocytes,0.19533282426967746,2.8994947452206836,0.8967254408060453,0.21782902032320772,0.1658085076570056,6.141478965682067e-54,2.255771365573989e-48
ENSG00000107738,VSIR,CD16+ Monocytes,0.27445050239307234,2.534675803733406,0.8035264483627204,0.3415575217869897,0.28564351136425586,2.7391718063401488e-92,1.006100543640543e-86
ENSG00000197746,PSAP,CD16+ Monocytes,0.27236844888383804,8.946695252490855,0.9874055415617129,0.27584253624205024,0.4127433888413798,1.3680432632992003e-133,5.024836586530596e-128
ENSG00000108219,TSPAN14,CD16+ Monocytes,0.19721532741784903,0.7071348087417966,0.6221662468513854,0.31698172058658325,0.2033339496436906,6.864765328398329e-66,2.5214351698860345e-60
ENSG00000111679,PTPN6,CD16+ Monocytes,0.3282962868450959,2.2618417608555883,0.871536523929471,0.37668677999278344,0.4218510669624333,1.4138029018754716e-136,5.192912196617626e-131
